load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.004
Random Initialization - No Saved Model
8192 Dense CMS torch.Size([8192, 51])
8192 Dense CMS torch.Size([8192, 409])
8192 Dense CMS torch.Size([8192, 1])
8192 Dense CMS torch.Size([8192, 1])
256 Dense CMS torch.Size([256, 409])
256 Dense CMS torch.Size([256, 1])
793471 CMS torch.Size([3, 52898, 256])
793471 CMS torch.Size([3, 52898, 256])
793471 Dense CMS torch.Size([793471, 1])
Epoch:   1 | 19125/39011 batches | lr 0.003608 | ms/batch 577.84 | loss  3.52 | ppl    33.65
Epoch:   1 | 19250/39011 batches | lr 0.003605 | ms/batch 576.15 | loss  3.52 | ppl    33.81
Epoch:   1 | 19375/39011 batches | lr 0.003603 | ms/batch 581.31 | loss  3.56 | ppl    35.19
Epoch:   1 | 19500/39011 batches | lr 0.003600 | ms/batch 565.45 | loss  3.51 | ppl    33.39
Epoch:   1 | 19625/39011 batches | lr 0.003598 | ms/batch 571.15 | loss  3.53 | ppl    34.07
Epoch:   1 | 19750/39011 batches | lr 0.003595 | ms/batch 579.85 | loss  3.57 | ppl    35.47
Epoch:   1 | 19875/39011 batches | lr 0.003592 | ms/batch 572.75 | loss  3.50 | ppl    33.07
Epoch:   1 | 20000/39011 batches | lr 0.003590 | ms/batch 557.96 | loss  3.52 | ppl    33.69
Epoch:   1 | 20125/39011 batches | lr 0.003587 | ms/batch 563.13 | loss  3.51 | ppl    33.55
Epoch:   1 | 20250/39011 batches | lr 0.003585 | ms/batch 547.55 | loss  3.52 | ppl    33.65
Epoch:   1 | 20375/39011 batches | lr 0.003582 | ms/batch 561.66 | loss  3.48 | ppl    32.41
Epoch:   1 | 20500/39011 batches | lr 0.003580 | ms/batch 573.42 | loss  3.51 | ppl    33.31
Epoch:   1 | 20625/39011 batches | lr 0.003577 | ms/batch 575.74 | loss  3.54 | ppl    34.34
Epoch:   1 | 20750/39011 batches | lr 0.003574 | ms/batch 562.43 | loss  3.50 | ppl    33.12
Epoch:   1 | 20875/39011 batches | lr 0.003572 | ms/batch 544.13 | loss  3.50 | ppl    33.04
Epoch:   1 | 21000/39011 batches | lr 0.003569 | ms/batch 549.62 | loss  3.47 | ppl    32.09
Epoch:   1 | 21125/39011 batches | lr 0.003567 | ms/batch 570.03 | loss  3.50 | ppl    33.03
Epoch:   1 | 21250/39011 batches | lr 0.003564 | ms/batch 570.02 | loss  3.51 | ppl    33.54
Epoch:   1 | 21375/39011 batches | lr 0.003562 | ms/batch 544.24 | loss  3.49 | ppl    32.85
Epoch:   1 | 21500/39011 batches | lr 0.003559 | ms/batch 573.26 | loss  3.54 | ppl    34.49
Epoch:   1 | 21625/39011 batches | lr 0.003557 | ms/batch 590.66 | loss  3.53 | ppl    34.11
Epoch:   1 | 21750/39011 batches | lr 0.003554 | ms/batch 568.57 | loss  3.49 | ppl    32.70
Epoch:   1 | 21875/39011 batches | lr 0.003551 | ms/batch 595.85 | loss  3.51 | ppl    33.50
Epoch:   1 | 22000/39011 batches | lr 0.003549 | ms/batch 576.82 | loss  3.52 | ppl    33.76
Epoch:   1 | 22125/39011 batches | lr 0.003546 | ms/batch 589.27 | loss  3.49 | ppl    32.76
Epoch:   1 | 22250/39011 batches | lr 0.003544 | ms/batch 596.01 | loss  3.48 | ppl    32.60
Epoch:   1 | 22375/39011 batches | lr 0.003541 | ms/batch 579.33 | loss  3.48 | ppl    32.53
Epoch:   1 | 22500/39011 batches | lr 0.003539 | ms/batch 573.91 | loss  3.49 | ppl    32.77
Epoch:   1 | 22625/39011 batches | lr 0.003536 | ms/batch 589.02 | loss  3.47 | ppl    32.25
Epoch:   1 | 22750/39011 batches | lr 0.003533 | ms/batch 579.60 | loss  3.45 | ppl    31.59
Epoch:   1 | 22875/39011 batches | lr 0.003531 | ms/batch 579.48 | loss  3.44 | ppl    31.27
Epoch:   1 | 23000/39011 batches | lr 0.003528 | ms/batch 582.31 | loss  3.49 | ppl    32.72
Epoch:   1 | 23125/39011 batches | lr 0.003526 | ms/batch 579.82 | loss  3.48 | ppl    32.47
Epoch:   1 | 23250/39011 batches | lr 0.003523 | ms/batch 566.36 | loss  3.49 | ppl    32.79
Epoch:   1 | 23375/39011 batches | lr 0.003521 | ms/batch 569.78 | loss  3.50 | ppl    33.07
Epoch:   1 | 23500/39011 batches | lr 0.003518 | ms/batch 570.00 | loss  3.49 | ppl    32.86
Epoch:   1 | 23625/39011 batches | lr 0.003516 | ms/batch 563.97 | loss  3.51 | ppl    33.42
Epoch:   1 | 23750/39011 batches | lr 0.003513 | ms/batch 554.96 | loss  3.52 | ppl    33.73
Epoch:   1 | 23875/39011 batches | lr 0.003510 | ms/batch 547.84 | loss  3.49 | ppl    32.72
Epoch:   1 | 24000/39011 batches | lr 0.003508 | ms/batch 585.08 | loss  3.50 | ppl    33.20
Epoch:   1 | 24125/39011 batches | lr 0.003505 | ms/batch 586.73 | loss  3.49 | ppl    32.67
Epoch:   1 | 24250/39011 batches | lr 0.003503 | ms/batch 591.74 | loss  3.47 | ppl    32.13
Epoch:   1 | 24375/39011 batches | lr 0.003500 | ms/batch 569.84 | loss  3.46 | ppl    31.75
Epoch:   1 | 24500/39011 batches | lr 0.003498 | ms/batch 565.51 | loss  3.48 | ppl    32.42
Epoch:   1 | 24625/39011 batches | lr 0.003495 | ms/batch 568.01 | loss  3.49 | ppl    32.78
Epoch:   1 | 24750/39011 batches | lr 0.003492 | ms/batch 568.79 | loss  3.47 | ppl    32.20
Epoch:   1 | 24875/39011 batches | lr 0.003490 | ms/batch 564.89 | loss  3.48 | ppl    32.44
Epoch:   1 | 25000/39011 batches | lr 0.003487 | ms/batch 565.56 | loss  3.45 | ppl    31.64
